Unreal -> Engine : 1.0, 1.97
Weekly;HPUX;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Automated;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Automated;HPUX : 1.0, 1.0
Weekly;Automated;HPUX -> Solaris;Deployment : 0.0, 0.91
Weekly;HPUX;Solaris -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Solaris -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Automated;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Automated;HPUX : 1.0, 1.0
Weekly;Automated;HPUX -> Solaris;Deployment : 0.0, 0.94
Weekly;HPUX;Solaris -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;Solaris -> HPUX;Deployment : 0.0, 0.94
Weekly;Automated;HPUX;Deployment -> Solaris : 1.0, 1.0
Weekly;HPUX;Solaris;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Solaris;Deployment -> HPUX : 1.0, 1.0
Weekly;Automated;HPUX;Solaris -> Deployment : 0.0, 0.91
Weekly;Automated;HPUX;Deployment -> Solaris : 1.0, 1.0
Weekly;HPUX;Solaris;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Solaris;Deployment -> HPUX : 1.0, 1.0
Weekly;Automated;HPUX;Solaris -> Deployment : 0.0, 0.94
Weekly;Automated;HPUX;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Automated;Service;HPUX : 1.0, 1.0
Weekly;HPUX -> Automated;Service;Deployment : 0.0, 0.94
Weekly;Automated -> Service;HPUX;Deployment : 0.0, 0.94
Weekly;Service -> Automated;HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Automated;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;Deployment -> Automated;HPUX : 1.0, 1.0
Weekly;Automated;HPUX -> Service;Deployment : 0.0, 0.91
Weekly;Service;HPUX -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Service -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Automated;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;Deployment -> Automated;HPUX : 1.0, 1.0
Weekly;Automated;HPUX -> Service;Deployment : 0.0, 0.94
Weekly;Service;HPUX -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;Service -> HPUX;Deployment : 0.0, 0.94
Weekly;Automated;HPUX;Deployment -> Service : 1.0, 1.0
Weekly;Service;HPUX;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Service;Deployment -> HPUX : 1.0, 1.0
Weekly;Automated;Service;HPUX -> Deployment : 0.0, 0.91
Weekly;Automated;HPUX;Deployment -> Service : 1.0, 1.0
Weekly;Service;HPUX;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Service;Deployment -> HPUX : 1.0, 1.0
Weekly;Automated;Service;HPUX -> Deployment : 0.0, 0.94
Weekly;Automated;Service;HPUX;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;Automated;HPUX : 1.0, 1.0
Weekly;HPUX -> Linux;Automated;Deployment : 0.0, 0.94
Weekly;Automated -> Linux;HPUX;Deployment : 0.0, 0.94
Linux;Weekly -> Automated;HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> Linux;Automated : 1.0, 1.0
Weekly;Automated;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;HPUX : 1.0, 1.0
Weekly;Automated;HPUX -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;HPUX -> Automated;Deployment : 0.0, 0.91
Linux;Weekly;Automated -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Linux;Automated : 1.0, 1.0
Weekly;Automated;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;HPUX : 1.0, 1.0
Weekly;Automated;HPUX -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;HPUX -> Automated;Deployment : 0.0, 0.94
Linux;Weekly;Automated -> HPUX;Deployment : 0.0, 0.94
Weekly;Automated;HPUX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;Automated;HPUX -> Deployment : 0.0, 0.91
Weekly;Automated;HPUX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;Automated;HPUX -> Deployment : 0.0, 0.94
Linux;Weekly;Automated;HPUX;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> AIX;HPUX;Solaris : 1.0, 1.0
Weekly;HPUX -> AIX;Solaris;Deployment : 0.0, 0.94
Weekly;AIX -> HPUX;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> AIX;HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> AIX;HPUX : 1.0, 1.0
Weekly;AIX;HPUX -> Solaris;Deployment : 0.0, 0.91
Weekly;HPUX;Solaris -> AIX;Deployment : 0.0, 0.91
Weekly;AIX;Solaris -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> AIX;HPUX : 1.0, 1.0
Weekly;AIX;HPUX -> Solaris;Deployment : 0.0, 0.94
Weekly;HPUX;Solaris -> AIX;Deployment : 0.0, 0.94
Weekly;AIX;Solaris -> HPUX;Deployment : 0.0, 0.94
Weekly;AIX;HPUX;Deployment -> Solaris : 1.0, 1.0
Weekly;HPUX;Solaris;Deployment -> AIX : 1.0, 1.0
Weekly;AIX;Solaris;Deployment -> HPUX : 1.0, 1.0
Weekly;AIX;HPUX;Solaris -> Deployment : 0.0, 0.91
Weekly;AIX;HPUX;Deployment -> Solaris : 1.0, 1.0
Weekly;HPUX;Solaris;Deployment -> AIX : 1.0, 1.0
Weekly;AIX;Solaris;Deployment -> HPUX : 1.0, 1.0
Weekly;AIX;HPUX;Solaris -> Deployment : 0.0, 0.94
Weekly;AIX;HPUX;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Service;AIX;HPUX : 1.0, 1.0
Weekly;HPUX -> Service;AIX;Deployment : 0.0, 0.94
Weekly;AIX -> Service;HPUX;Deployment : 0.0, 0.94
Weekly;Service -> AIX;HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> Service;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;Deployment -> AIX;HPUX : 1.0, 1.0
Weekly;AIX;HPUX -> Service;Deployment : 0.0, 0.91
Weekly;Service;HPUX -> AIX;Deployment : 0.0, 0.91
Weekly;Service;AIX -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Service;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;Deployment -> AIX;HPUX : 1.0, 1.0
Weekly;AIX;HPUX -> Service;Deployment : 0.0, 0.94
Weekly;Service;HPUX -> AIX;Deployment : 0.0, 0.94
Weekly;Service;AIX -> HPUX;Deployment : 0.0, 0.94
Weekly;AIX;HPUX;Deployment -> Service : 1.0, 1.0
Weekly;Service;HPUX;Deployment -> AIX : 1.0, 1.0
Weekly;Service;AIX;Deployment -> HPUX : 1.0, 1.0
Weekly;Service;AIX;HPUX -> Deployment : 0.0, 0.91
Weekly;AIX;HPUX;Deployment -> Service : 1.0, 1.0
Weekly;Service;HPUX;Deployment -> AIX : 1.0, 1.0
Weekly;Service;AIX;Deployment -> HPUX : 1.0, 1.0
Weekly;Service;AIX;HPUX -> Deployment : 0.0, 0.94
Weekly;Service;AIX;HPUX;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;AIX;HPUX : 1.0, 1.0
Weekly;HPUX -> Linux;AIX;Deployment : 0.0, 0.94
Weekly;AIX -> Linux;HPUX;Deployment : 0.0, 0.94
Linux;Weekly -> AIX;HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> Linux;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> AIX;HPUX : 1.0, 1.0
Weekly;AIX;HPUX -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;HPUX -> AIX;Deployment : 0.0, 0.91
Linux;Weekly;AIX -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Linux;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> AIX;HPUX : 1.0, 1.0
Weekly;AIX;HPUX -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;HPUX -> AIX;Deployment : 0.0, 0.94
Linux;Weekly;AIX -> HPUX;Deployment : 0.0, 0.94
Weekly;AIX;HPUX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> AIX : 1.0, 1.0
Linux;Weekly;AIX;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;AIX;HPUX -> Deployment : 0.0, 0.91
Weekly;AIX;HPUX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> AIX : 1.0, 1.0
Linux;Weekly;AIX;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;AIX;HPUX -> Deployment : 0.0, 0.94
Linux;Weekly;AIX;HPUX;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Service;HPUX;Solaris : 1.0, 1.0
Weekly;HPUX -> Service;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> Service;HPUX;Deployment : 0.0, 0.94
Weekly;Service -> HPUX;Solaris;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> Service;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;HPUX;Solaris -> Service;Deployment : 0.0, 0.91
Weekly;Service;HPUX -> Solaris;Deployment : 0.0, 0.91
Weekly;Service;Solaris -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Service;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;HPUX;Solaris -> Service;Deployment : 0.0, 0.94
Weekly;Service;HPUX -> Solaris;Deployment : 0.0, 0.94
Weekly;Service;Solaris -> HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Solaris;Deployment -> Service : 1.0, 1.0
Weekly;Service;HPUX;Deployment -> Solaris : 1.0, 1.0
Weekly;Service;Solaris;Deployment -> HPUX : 1.0, 1.0
Weekly;Service;HPUX;Solaris -> Deployment : 0.0, 0.91
Weekly;HPUX;Solaris;Deployment -> Service : 1.0, 1.0
Weekly;Service;HPUX;Deployment -> Solaris : 1.0, 1.0
Weekly;Service;Solaris;Deployment -> HPUX : 1.0, 1.0
Weekly;Service;HPUX;Solaris -> Deployment : 0.0, 0.94
Weekly;Service;HPUX;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;HPUX;Solaris : 1.0, 1.0
Weekly;HPUX -> Linux;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> Linux;HPUX;Deployment : 0.0, 0.94
Linux;Weekly -> HPUX;Solaris;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> Linux;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;HPUX;Solaris -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;HPUX -> Solaris;Deployment : 0.0, 0.91
Linux;Weekly;Solaris -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Linux;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> HPUX;Solaris : 1.0, 1.0
Weekly;HPUX;Solaris -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;HPUX -> Solaris;Deployment : 0.0, 0.94
Linux;Weekly;Solaris -> HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Solaris;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> Solaris : 1.0, 1.0
Linux;Weekly;Solaris;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;HPUX;Solaris -> Deployment : 0.0, 0.91
Weekly;HPUX;Solaris;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> Solaris : 1.0, 1.0
Linux;Weekly;Solaris;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;HPUX;Solaris -> Deployment : 0.0, 0.94
Linux;Weekly;HPUX;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;Service;HPUX : 1.0, 1.0
Weekly;HPUX -> Linux;Service;Deployment : 0.0, 0.94
Weekly;Service -> Linux;HPUX;Deployment : 0.0, 0.94
Linux;Weekly -> Service;HPUX;Deployment : 0.0, 0.94
Weekly;HPUX;Deployment -> Linux;Service : 1.0, 1.0
Weekly;Service;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;HPUX -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;HPUX -> Service;Deployment : 0.0, 0.91
Linux;Weekly;Service -> HPUX;Deployment : 0.0, 0.91
Weekly;HPUX;Deployment -> Linux;Service : 1.0, 1.0
Weekly;Service;Deployment -> Linux;HPUX : 1.0, 1.0
Linux;Weekly;Deployment -> Service;HPUX : 1.0, 1.0
Weekly;Service;HPUX -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;HPUX -> Service;Deployment : 0.0, 0.94
Linux;Weekly;Service -> HPUX;Deployment : 0.0, 0.94
Weekly;Service;HPUX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> Service : 1.0, 1.0
Linux;Weekly;Service;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;Service;HPUX -> Deployment : 0.0, 0.91
Weekly;Service;HPUX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;HPUX;Deployment -> Service : 1.0, 1.0
Linux;Weekly;Service;Deployment -> HPUX : 1.0, 1.0
Linux;Weekly;Service;HPUX -> Deployment : 0.0, 0.94
Linux;Weekly;Service;HPUX;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Automated;AIX;Solaris : 1.0, 1.0
Weekly;Automated -> AIX;Solaris;Deployment : 0.0, 0.94
Weekly;AIX -> Automated;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> Automated;AIX;Deployment : 0.0, 0.94
Weekly;Automated;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Automated;AIX : 1.0, 1.0
Weekly;Automated;AIX -> Solaris;Deployment : 0.0, 0.91
Weekly;Automated;Solaris -> AIX;Deployment : 0.0, 0.91
Weekly;AIX;Solaris -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Automated;AIX : 1.0, 1.0
Weekly;Automated;AIX -> Solaris;Deployment : 0.0, 0.94
Weekly;Automated;Solaris -> AIX;Deployment : 0.0, 0.94
Weekly;AIX;Solaris -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;AIX;Deployment -> Solaris : 1.0, 1.0
Weekly;Automated;Solaris;Deployment -> AIX : 1.0, 1.0
Weekly;AIX;Solaris;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;AIX;Solaris -> Deployment : 0.0, 0.91
Weekly;Automated;AIX;Deployment -> Solaris : 1.0, 1.0
Weekly;Automated;Solaris;Deployment -> AIX : 1.0, 1.0
Weekly;AIX;Solaris;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;AIX;Solaris -> Deployment : 0.0, 0.94
Weekly;Automated;AIX;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Automated;Service;AIX : 1.0, 1.0
Weekly;Automated -> Service;AIX;Deployment : 0.0, 0.94
Weekly;AIX -> Automated;Service;Deployment : 0.0, 0.94
Weekly;Service -> Automated;AIX;Deployment : 0.0, 0.94
Weekly;Automated;Deployment -> Service;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Service;Deployment -> Automated;AIX : 1.0, 1.0
Weekly;Automated;AIX -> Service;Deployment : 0.0, 0.91
Weekly;Automated;Service -> AIX;Deployment : 0.0, 0.91
Weekly;Service;AIX -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Deployment -> Service;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Service;Deployment -> Automated;AIX : 1.0, 1.0
Weekly;Automated;AIX -> Service;Deployment : 0.0, 0.94
Weekly;Automated;Service -> AIX;Deployment : 0.0, 0.94
Weekly;Service;AIX -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;AIX;Deployment -> Service : 1.0, 1.0
Weekly;Automated;Service;Deployment -> AIX : 1.0, 1.0
Weekly;Service;AIX;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Service;AIX -> Deployment : 0.0, 0.91
Weekly;Automated;AIX;Deployment -> Service : 1.0, 1.0
Weekly;Automated;Service;Deployment -> AIX : 1.0, 1.0
Weekly;Service;AIX;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Service;AIX -> Deployment : 0.0, 0.94
Weekly;Automated;Service;AIX;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;Automated;AIX : 1.0, 1.0
Weekly;Automated -> Linux;AIX;Deployment : 0.0, 0.94
Weekly;AIX -> Linux;Automated;Deployment : 0.0, 0.94
Linux;Weekly -> Automated;AIX;Deployment : 0.0, 0.94
Weekly;Automated;Deployment -> Linux;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Linux;Automated : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;AIX : 1.0, 1.0
Weekly;Automated;AIX -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;Automated -> AIX;Deployment : 0.0, 0.91
Linux;Weekly;AIX -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Deployment -> Linux;AIX : 1.0, 1.0
Weekly;AIX;Deployment -> Linux;Automated : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;AIX : 1.0, 1.0
Weekly;Automated;AIX -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;Automated -> AIX;Deployment : 0.0, 0.94
Linux;Weekly;AIX -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;AIX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> AIX : 1.0, 1.0
Linux;Weekly;AIX;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;AIX -> Deployment : 0.0, 0.91
Weekly;Automated;AIX;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> AIX : 1.0, 1.0
Linux;Weekly;AIX;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;AIX -> Deployment : 0.0, 0.94
Linux;Weekly;Automated;AIX;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Automated;Service;Solaris : 1.0, 1.0
Weekly;Automated -> Service;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> Automated;Service;Deployment : 0.0, 0.94
Weekly;Service -> Automated;Solaris;Deployment : 0.0, 0.94
Weekly;Automated;Deployment -> Service;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Service;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Automated;Solaris -> Service;Deployment : 0.0, 0.91
Weekly;Automated;Service -> Solaris;Deployment : 0.0, 0.91
Weekly;Service;Solaris -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Deployment -> Service;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Service;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Automated;Solaris -> Service;Deployment : 0.0, 0.94
Weekly;Automated;Service -> Solaris;Deployment : 0.0, 0.94
Weekly;Service;Solaris -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;Solaris;Deployment -> Service : 1.0, 1.0
Weekly;Automated;Service;Deployment -> Solaris : 1.0, 1.0
Weekly;Service;Solaris;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Service;Solaris -> Deployment : 0.0, 0.91
Weekly;Automated;Solaris;Deployment -> Service : 1.0, 1.0
Weekly;Automated;Service;Deployment -> Solaris : 1.0, 1.0
Weekly;Service;Solaris;Deployment -> Automated : 1.0, 1.0
Weekly;Automated;Service;Solaris -> Deployment : 0.0, 0.94
Weekly;Automated;Service;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;Automated;Solaris : 1.0, 1.0
Weekly;Automated -> Linux;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> Linux;Automated;Deployment : 0.0, 0.94
Linux;Weekly -> Automated;Solaris;Deployment : 0.0, 0.94
Weekly;Automated;Deployment -> Linux;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Linux;Automated : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Automated;Solaris -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;Automated -> Solaris;Deployment : 0.0, 0.91
Linux;Weekly;Solaris -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Deployment -> Linux;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Linux;Automated : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;Solaris : 1.0, 1.0
Weekly;Automated;Solaris -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;Automated -> Solaris;Deployment : 0.0, 0.94
Linux;Weekly;Solaris -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;Solaris;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> Solaris : 1.0, 1.0
Linux;Weekly;Solaris;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;Solaris -> Deployment : 0.0, 0.91
Weekly;Automated;Solaris;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> Solaris : 1.0, 1.0
Linux;Weekly;Solaris;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;Solaris -> Deployment : 0.0, 0.94
Linux;Weekly;Automated;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;Automated;Service : 1.0, 1.0
Weekly;Automated -> Linux;Service;Deployment : 0.0, 0.94
Weekly;Service -> Linux;Automated;Deployment : 0.0, 0.94
Linux;Weekly -> Automated;Service;Deployment : 0.0, 0.94
Weekly;Automated;Deployment -> Linux;Service : 1.0, 1.0
Weekly;Service;Deployment -> Linux;Automated : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Automated;Service -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;Automated -> Service;Deployment : 0.0, 0.91
Linux;Weekly;Service -> Automated;Deployment : 0.0, 0.91
Weekly;Automated;Deployment -> Linux;Service : 1.0, 1.0
Weekly;Service;Deployment -> Linux;Automated : 1.0, 1.0
Linux;Weekly;Deployment -> Automated;Service : 1.0, 1.0
Weekly;Automated;Service -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;Automated -> Service;Deployment : 0.0, 0.94
Linux;Weekly;Service -> Automated;Deployment : 0.0, 0.94
Weekly;Automated;Service;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> Service : 1.0, 1.0
Linux;Weekly;Service;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;Service -> Deployment : 0.0, 0.91
Weekly;Automated;Service;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;Automated;Deployment -> Service : 1.0, 1.0
Linux;Weekly;Service;Deployment -> Automated : 1.0, 1.0
Linux;Weekly;Automated;Service -> Deployment : 0.0, 0.94
Linux;Weekly;Automated;Service;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Service;AIX;Solaris : 1.0, 1.0
Weekly;AIX -> Service;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> Service;AIX;Deployment : 0.0, 0.94
Weekly;Service -> AIX;Solaris;Deployment : 0.0, 0.94
Weekly;AIX;Deployment -> Service;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Service;AIX : 1.0, 1.0
Weekly;Service;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Solaris -> Service;Deployment : 0.0, 0.91
Weekly;Service;AIX -> Solaris;Deployment : 0.0, 0.91
Weekly;Service;Solaris -> AIX;Deployment : 0.0, 0.91
Weekly;AIX;Deployment -> Service;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Service;AIX : 1.0, 1.0
Weekly;Service;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Solaris -> Service;Deployment : 0.0, 0.94
Weekly;Service;AIX -> Solaris;Deployment : 0.0, 0.94
Weekly;Service;Solaris -> AIX;Deployment : 0.0, 0.94
Weekly;AIX;Solaris;Deployment -> Service : 1.0, 1.0
Weekly;Service;AIX;Deployment -> Solaris : 1.0, 1.0
Weekly;Service;Solaris;Deployment -> AIX : 1.0, 1.0
Weekly;Service;AIX;Solaris -> Deployment : 0.0, 0.91
Weekly;AIX;Solaris;Deployment -> Service : 1.0, 1.0
Weekly;Service;AIX;Deployment -> Solaris : 1.0, 1.0
Weekly;Service;Solaris;Deployment -> AIX : 1.0, 1.0
Weekly;Service;AIX;Solaris -> Deployment : 0.0, 0.94
Weekly;Service;AIX;Solaris;Deployment ->  : 1.0, 1.0
Weekly;Deployment -> Linux;AIX;Solaris : 1.0, 1.0
Weekly;AIX -> Linux;Solaris;Deployment : 0.0, 0.94
Weekly;Solaris -> Linux;AIX;Deployment : 0.0, 0.94
Linux;Weekly -> AIX;Solaris;Deployment : 0.0, 0.94
Weekly;AIX;Deployment -> Linux;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Linux;AIX : 1.0, 1.0
Linux;Weekly;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Solaris -> Linux;Deployment : 0.0, 0.91
Linux;Weekly;AIX -> Solaris;Deployment : 0.0, 0.91
Linux;Weekly;Solaris -> AIX;Deployment : 0.0, 0.91
Weekly;AIX;Deployment -> Linux;Solaris : 1.0, 1.0
Weekly;Solaris;Deployment -> Linux;AIX : 1.0, 1.0
Linux;Weekly;Deployment -> AIX;Solaris : 1.0, 1.0
Weekly;AIX;Solaris -> Linux;Deployment : 0.0, 0.94
Linux;Weekly;AIX -> Solaris;Deployment : 0.0, 0.94
Linux;Weekly;Solaris -> AIX;Deployment : 0.0, 0.94
Weekly;AIX;Solaris;Deployment -> Linux : 1.0, 1.0
Linux;Weekly;AIX;Deployment -> Solaris : 1.0, 1.0
Linux;Weekly;Solaris;Deployment -> AIX : 1.0, 1.0
